first_name,last_name,nickname,wins,losses,draws,belt,height_cm,weight_lbs,reach_in,stance,dob,url,reach,weight,elo
Tom,Aaron,,5,3,0,False,,155,,,"Jul 13, 1978",http://ufcstats.com/fighter-details/93fe7332d16c6ad9,,155,1500
Danny,Abbadi,The Assassin,4,6,0,False,180,155,,Orthodox,"Jul 03, 1983",http://ufcstats.com/fighter-details/15df64c02b6b0fde,,155,1460
Nariman,Abbasov,Bayraktar,28,4,0,False,173,155,66.0,Orthodox,"Feb 01, 1994",http://ufcstats.com/fighter-details/59a9d6dac61c2540,66,155,1500
David,Abbott,Tank,10,15,0,False,183,265,,Switch,"Apr 26, 1965",http://ufcstats.com/fighter-details/b361180739bed4b0,,265,1462
Hamdy,Abdelwahab,The Hammer,6,1,0,False,188,264,72.0,Southpaw,"Jan 22, 1993",http://ufcstats.com/fighter-details/3329d692aea4dc28,72,264,1500
Mansur,Abdul-Malik,,9,0,0,False,188,185,80.0,Orthodox,"Oct 07, 1997",http://ufcstats.com/fighter-details/841695e02c99a521,80,185,1556
Shamil,Abdurakhimov,Abrek,20,8,0,False,190,235,76.0,Orthodox,"Sep 02, 1981",http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,76,235,1490
Daichi,Abe,,6,2,0,False,180,170,71.0,Orthodox,"Nov 27, 1991",http://ufcstats.com/fighter-details/5140122c3eecd307,71,170,1481
Hiroyuki,Abe,Abe Ani,8,15,3,False,168,145,,Orthodox,,http://ufcstats.com/fighter-details/c0ed7b208197e8de,,145,1500
Papy,Abedi,Makambo,10,4,0,False,180,185,,Southpaw,"Jun 30, 1978",http://ufcstats.com/fighter-details/c9f6385af6df66d7,,185,1468
Cyborg,Abreu,,0,0,0,False,,,,,"Dec 20, 1980",http://ufcstats.com/fighter-details/f689bd7bbd14b392,,,1500
Klidson,Abreu,White Bear,15,4,0,False,183,205,74.0,Orthodox,"Dec 24, 1992",http://ufcstats.com/fighter-details/7279654c7674cd24,74,205,1483
Ricardo,Abreu,Demente,5,1,0,False,180,185,,Orthodox,"Apr 27, 1984",http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,,185,1498
Daniel,Acacio,,30,18,0,False,173,180,,Orthodox,"Dec 27, 1977",http://ufcstats.com/fighter-details/1c5879330d42255f,,180,1500
John,Adajar,The Outlaw,6,2,0,False,175,170,75.0,Orthodox,"Jun 22, 1991",http://ufcstats.com/fighter-details/989b85f6540c86b1,75,170,1500
Anthony,Adams,Sugafoot,8,2,0,False,185,185,76.0,Orthodox,"Jan 13, 1988",http://ufcstats.com/fighter-details/a77633a989013265,76,185,1500
Juan,Adams,The Kraken,5,3,0,False,196,265,80.0,Orthodox,"Jan 16, 1992",http://ufcstats.com/fighter-details/83b00f7597e5ac83,80,265,1459
Scott,Adams,,8,1,0,False,183,225,,Southpaw,,http://ufcstats.com/fighter-details/2620f3eb21c79614,,225,1520
Zarrukh,Adashev,The Lion,4,4,0,False,165,125,65.0,Southpaw,"Jul 29, 1992",http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,65,125,1462
Israel,Adesanya,The Last Stylebender,24,5,0,False,193,185,80.0,Switch,"Jul 22, 1989",http://ufcstats.com/fighter-details/1338e2c7480bdf9e,80,185,1637
Sam,Adkins,The Experience,7,20,2,False,190,225,,Orthodox,"Apr 26, 1965",http://ufcstats.com/fighter-details/0e9869d712e81f8f,,225,1500
Mohamed,Ado,,5,1,0,False,180,170,76.0,Switch,"May 03, 2000",http://ufcstats.com/fighter-details/7a846fcbf182a7c8,76,170,1500
Nick,Agallar,,24,6,0,False,173,155,,Orthodox,"Jan 13, 1979",http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,,155,1481
